_id,alta,cantidad,cantidadRestock,ean,familia,iva,margen,nombre,precioCompra,precioVenta,proveedor
62c4df316f6dede80a8a710a,true,0,20,8424523030917,ALIMENTACION,10,20,TOMATE FRITO CASERO HIDA,1.18,1.16,102268
62c4df316f6dede80a8a710b,true,0,20,8411499204008,ALIMENTACION,10,20,TOMATE ENTERO PELADO DEL TORO,0.45,0.6,
62c4df316f6dede80a8a710c,true,0,20,8411499204107,GENERICA,10,20,TOMATE TROCEADO DEL TORO,0.45,0.6,
62c4df316f6dede80a8a710d,true,0,20,8411916131214,GENERICA,10,20,CARNE DE ALCACHOFA CELORRIO,1.14,1.5,
62c4df316f6dede80a8a710e,true,0,20,8424626020419,ALIMENTACION,10,20,MEZCLA DE SETAS TROCEADAS tio palancas,0.8,1.1,102961
62c4df316f6dede80a8a710f,true,0,20,8411916200323,ALIMENTACION,10,20,HABAS TIERNAS CELORRIO,0.75,1.1,102958
62c4df316f6dede80a8a7110,true,0,20,8411916800035,ALIMENTACION,10,20,CENTRO DE ALCACHFA CELORRIO,1.35,2,102974
62c4df316f6dede80a8a7112,true,0,20,8411916130439,GENERICA,10,20,CHAMPIÃ°ONES LAMINADOS CELORRIO,0.76,1,
62c4df316f6dede80a8a7114,true,0,20,8411916200408,ALIMENTACION,10,20,PIMIENTO ENTERO EXTRA CELORRIO,0.83,1.1,
62c4df316f6dede80a8a7115,true,0,20,8411916300283,GENERICA,10,20,ESPARRAGOS CORTOS CELORRIO,1.21,1.6,
62c4df316f6dede80a8a7116,true,0,20,8411916130613,GENERICA,10,20,REMOLACHA RALLADA CELORRIO,0.76,1,
62c4df316f6dede80a8a7117,true,0,20,8428626191124,GENERICA,10,20,ESPARRAGOS BLANCOS PELLI,1.52,2,
62c4df316f6dede80a8a7118,true,0,20,8432580121011,ALIMENTACION,10,20,LA MASIA SUMMUN ACEITE DE OLIVA 1â,3.78,4.59,200202
62c4df316f6dede80a8a7119,true,0,20,8410010000181,ALIMENTACION,10,20,CARBONELL ORIGINAL 0.4,3.78,4.69,200205
62c4df316f6dede80a8a711a,true,0,20,8437011604538,ALIMENTACION,10,20,VINAGRE DARRO,0.4,0.63,330450
62c4df316f6dede80a8a711b,true,0,20,8436001253466,ALIMENTACION,10,20,ABRIL ACEITE DE GIRASOL,2.99,3.39,101788
62c4df316f6dede80a8a711c,true,0,20,8437017947172,ALIMENTACION,10,20,ACEITE OLE OLEO 1 L.,3.78,4.7,1941
62c4df316f6dede80a8a711d,true,0,20,8432580211019,ALIMENTACION,10,20,ACEITE REFINADO LA MASIA,1.65,3.58,
62c4df316f6dede80a8a711f,true,0,20,8410422002100,ALIMENTACION,10,20,KETCHUP CHOVI,0.82,1.29,100259
62c4df316f6dede80a8a7120,true,0,20,8410422001905,ALIMENTACION,10,20,AJONESA CHOVI,0.98,1.3,280114
62c4df316f6dede80a8a7121,true,0,20,8410066131334,ALIMENTACION,10,20,KRAF SALSA FINA MAHONESA,0.94,1.65,103296
62c4df316f6dede80a8a7122,true,0,20,8410422002094,ALIMENTACION,10,20,SALSA CESAR CHOVI,0.98,1.55,280114
62c4df316f6dede80a8a7123,true,0,20,8413800074805,ALIMENTACION,10,20,LIGERESA SALSA FINA,1.48,1.99,103296
62c4df316f6dede80a8a7124,true,0,20,7613032996246,ALIMENTACION,10,20,TOMATE SOLIS,0.5,0.79,140808
62c4df316f6dede80a8a7125,true,0,20,8410300349044,ALIMENTACION,10,20,GALLINA BLANCA CALDO CASERO DE CARNE,1.08,1.65,250305
62c4df316f6dede80a8a7126,true,0,20,8410300349051,ALIMENTACION,10,20,GALLINA BLANCA CALDO CASERO DE POLLO,1.08,1.65,250399
62c4df316f6dede80a8a7127,true,0,20,8410300349006,ALIMENTACION,10,20,GALLINA BLANCA CALDO CASERO DE COCIDO,1.07,1.65,512115
62c4df316f6dede80a8a7128,true,0,20,8410300101796,ALIMENTACION,10,20,GALLINA BLANCA SOPA DE VERDURAS,0.38,0.55,250216
62c4df316f6dede80a8a7129,true,0,20,8410300101642,ALIMENTACION,10,20,SOPA DE TERNERA CON ESTRELLITAS GALLINA,0.42,0.55,
62c4df316f6dede80a8a712a,true,0,20,8410300101598,ALIMENTACION,10,20,SOPA DE POLLO CON FIDEOS FINOS G.BLACA,0.38,0.55,
62c4df316f6dede80a8a712b,true,0,20,8412500922072,ALIMENTACION,10,20,PATE LA PIARA TAPA NEGRA,2.16,2.85,
62c4df316f6dede80a8a712c,true,0,20,8412500370521,ALIMENTACION,10,20,PATE SUAVE LA PIARA,0.76,1,
62c4df316f6dede80a8a712d,true,0,20,8410173069599,ALIMENTACION,10,20,PASTA DE CANELONES EL PAVO,0.62,0.82,
62c4df316f6dede80a8a712e,true,0,20,8412200028005,ALIMENTACION,10,20,PASTILLAS DE CARNE KNORR,0.92,1.2,250309
62c4df316f6dede80a8a7130,true,0,20,8410300353058,ALIMENTACION,10,20,AVECREM POLLO GALLINA BLANCA,0.7,1.25,250314
62c4df316f6dede80a8a7131,true,0,20,8410422001929,ALIMENTACION,10,20,CHOVI MOSTAZA AMARILLA 300 GR.,0.59,1.75,280414
62c4df316f6dede80a8a7132,true,0,20,8411916300023,ALIMENTACION,10,20,MELOCOTON MITADES CELORRIO,1.35,1.8,
